S0,T,K,P
100,0.08333333333333333,60,0.0
100,0.08333333333333333,70,0.0
100,0.08333333333333333,80,0.0
100,0.08333333333333333,90,10.760836681164838
100,0.08333333333333333,100,23.0444722601751
100,0.08333333333333333,110,35.32810783918557
100,0.08333333333333333,120,47.61174341819611
100,0.08333333333333333,130,59.895378997207324
100,0.08333333333333333,140,72.179014576219
100,0.16666666666666666,60,0.0
100,0.16666666666666666,70,0.0
100,0.16666666666666666,80,0.0
100,0.16666666666666666,90,12.214479872906086
100,0.16666666666666666,100,24.636555434841345
100,0.16666666666666666,110,37.05863099677664
100,0.16666666666666666,120,49.48070655871321
100,0.16666666666666666,130,61.90278212064732
100,0.16666666666666666,140,74.32485768258148
100,0.25,60,0.0
100,0.25,70,0.0
100,0.25,80,1.1196573528496954
100,0.25,90,13.681733154748176
100,0.25,100,26.243808956646713
100,0.25,110,38.80588475854589
100,0.25,120,51.36796056044334
100,0.25,130,63.9300363623421
100,0.25,140,76.49211216424048
100,0.5,60,0.0
100,0.5,70,0.0
100,0.5,80,5.1751391703431375
100,0.5,90,18.166754072809795
100,0.5,100,31.158368975276254
100,0.5,110,44.14998387774284
100,0.5,120,57.14159878020977
100,0.5,130,70.13321368267547
100,0.5,140,83.12482858514238
100,1.0,60,0.0
100,1.0,70,0.0
100,1.0,80,13.631068154134352
100,1.0,90,27.52632557375539
100,1.0,100,41.4215829933752
100,1.0,110,55.31684041299731
100,1.0,120,69.21209783261844
100,1.0,130,83.10735525223862
100,1.0,140,97.00261267185876
